Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin %,Rating
1000-B,A,New York,Member,Female,Sports & Travel,4156.82,4,831.36,17458.64,10/24/2025,19:46:21,Credit Card,16627.28,4.76%,5.6
1001-A,C,Chicago,Normal,Male,Electronic Accessories,7827.94,6,2348.38,49316.02,02/08/2025,9:58:59,Credit Card,46967.64,4.76%,8.6
1002-B,A,New York,Normal,Female,Health & Beauty,7791.87,4,1558.37,32725.85,03/11/2025,20:16:45,Cash,31167.48,4.76%,4.4
1003-C,C,Chicago,Normal,Female,Food & Beverages,8562.49,8,3425.0,71924.92,03/26/2025,20:49:30,Cash,68499.92,4.76%,9.4
1004-A,A,New York,Normal,Male,Electronic Accessories,6156.54,5,1539.14,32321.84,09/22/2025,10:26:16,Cash,30782.7,4.76%,6.0
1005-A,A,New York,Normal,Male,Food & Beverages,7803.51,10,3901.76,81936.86,08/03/2025,11:22:45,Cash,78035.1,4.76%,4.0
1006-B,A,New York,Normal,Female,Food & Beverages,8562.85,5,2140.71,44954.96,09/21/2025,15:21:41,Credit Card,42814.25,4.76%,6.6
1007-C,C,Chicago,Member,Female,Sports & Travel,9211.51,1,460.58,9672.09,08/03/2025,10:11:08,Cash,9211.51,4.76%,9.3
1008-C,C,Chicago,Member,Male,Sports & Travel,5661.1,7,1981.38,41609.08,10/09/2025,19:16:14,Credit Card,39627.7,4.76%,8.9
1009-B,B,Austin,Normal,Male,Fashion Accessories,1448.18,3,217.23,4561.77,10/31/2025,14:50:22,Credit Card,4344.54,4.76%,5.9
1010-A,B,Austin,Member,Male,Health & Beauty,4664.38,10,2332.19,48975.99,05/30/2025,14:28:21,E-wallet,46643.8,4.76%,9.3
1011-C,C,Chicago,Normal,Male,Fashion Accessories,1588.33,8,635.33,13341.97,08/06/2025,10:39:50,Cash,12706.64,4.76%,9.5
1012-C,C,Chicago,Member,Female,Health & Beauty,6639.25,5,1659.81,34856.06,10/02/2025,9:37:20,E-wallet,33196.25,4.76%,7.2
1013-B,B,Austin,Member,Male,Sports & Travel,2220.93,1,111.05,2331.98,09/11/2025,16:59:38,Cash,2220.93,4.76%,8.7
1014-A,B,Austin,Member,Male,Fashion Accessories,8924.71,2,892.47,18741.89,03/13/2025,12:55:51,Cash,17849.42,4.76%,7.3
1015-A,B,Austin,Normal,Male,Sports & Travel,7676.77,2,767.68,16121.22,03/10/2025,18:55:49,Cash,15353.54,4.76%,5.6
1016-A,C,Chicago,Member,Male,Health & Beauty,8988.82,3,1348.32,28314.78,01/12/2025,10:32:01,Credit Card,26966.46,4.76%,7.5
1017-C,A,New York,Member,Female,Food & Beverages,6926.16,9,3116.77,65452.21,03/12/2025,16:55:33,E-wallet,62335.44,4.76%,5.2
1018-C,A,New York,Member,Female,Home & Lifestyle,2367.16,6,710.15,14913.11,05/30/2025,14:43:13,Credit Card,14202.96,4.76%,9.7
